Adresse,CodePostal
"Adrar, Adrar",1001
"Tamest, Adrar",1002
"Charouine, Adrar",1003
"Reggane, Adrar",1004
"Inozghmir, Adrar",1005
"Tit, Adrar",1006
"Ksar Kaddour, Adrar",1007
"Tsabit, Adrar",1008
"Timimoun, Adrar",1009
"Ouled Said, Adrar",1010
"Zaouiet Kounta, Adrar",1011
"Aoulef, Adrar",1012
"Timokten, Adrar",1013
"Tamentit, Adrar",1014
"Fenoughil, Adrar",1015
"Tinerkouk, Adrar",1016
"Deldoul, Adrar",1017
"Sali, Adrar",1018
"Akabli, Adrar",1019
"Metarfa, Adrar",1020
"O Ahmed Timmi, Adrar",1021
"Bouda, Adrar",1022
"Aougrout, Adrar",1023
"Talmine, Adrar",1024
"B Badji Mokhtar, Adrar",1025
"Sbaa, Adrar",1026
"Ouled Aissa, Adrar",1027
"Timiaouine, Adrar",1028
"Chlef, Chlef",2001
"Tenes, Chlef",2002
"Benairia, Chlef",2003
"El Karimia, Chlef",2004
"Tadjna, Chlef",2005
"Taougrite, Chlef",2006
"Beni Haoua, Chlef",2007
"Sobha, Chlef",2008
"Harchoun, Chlef",2009
"Ouled Fares, Chlef",2010
"Sidi Akacha, Chlef",2011
"Boukadir, Chlef",2012
"Beni Rached, Chlef",2013
"Talassa, Chlef",2014
"Herenfa, Chlef",2015
"Oued Goussine, Chlef",2016
"Dahra, Chlef",2017
"Ouled Abbes, Chlef",2018
"Sendjas, Chlef",2019
"Zeboudja, Chlef",2020
"Oued Sly, Chlef",2021
"Abou El Hassen, Chlef",2022
"El Marsa, Chlef",2023
"Chettia, Chlef",2024
"Sidi Abderrahmane, Chlef",2025
"Moussadek, Chlef",2026
"El Hadjadj, Chlef",2027
"Labiod Medjadja, Chlef",2028
"Oued Fodda, Chlef",2029
"Ouled Ben Abdelkader, Chlef",2030
"Bouzghaia, Chlef",2031
"Ain Merane, Chlef",2032
"Oum Drou, Chlef",2033
"Breira, Chlef",2034
"Ben Boutaleb, Chlef",2035
"Laghouat, Laghouat",3001
"Ksar El Hirane, Laghouat",3002
"Benacer Ben Chohra, Laghouat",3003
"Sidi Makhlouf, Laghouat",3004
"Hassi Delaa, Laghouat",3005
"Hassi R Mel, Laghouat",3006
"Ain Mahdi, Laghouat",3007
"Tadjmout, Laghouat",3008
"Kheneg, Laghouat",3009
"Gueltat Sidi Saad, Laghouat",3010
"Ain Sidi Ali, Laghouat",3011
"Beidha, Laghouat",3012
"Brida, Laghouat",3013
"El Ghicha, Laghouat",3014
"Hadj Mechri, Laghouat",3015
"Sebgag, Laghouat",3016
"Taouiala, Laghouat",3017
"Tadjrouna, Laghouat",3018
"Aflou, Laghouat",3019
"El Assafia, Laghouat",3020
"Oued Morra, Laghouat",3021
"Oued M Zi, Laghouat",3022
"El Haouaita, Laghouat",3023
"Sidi Bouzid, Laghouat",3024
"Oum El Bouaghi, Oum El Bouaghi",4001
"Ain Beida, Oum El Bouaghi",4002
"Ainmlila, Oum El Bouaghi",4003
"Behir Chergui, Oum El Bouaghi",4004
"El Amiria, Oum El Bouaghi",4005
"Sigus, Oum El Bouaghi",4006
"El Belala, Oum El Bouaghi",4007
"Ain Babouche, Oum El Bouaghi",4008
"Berriche, Oum El Bouaghi",4009
"Ouled Hamla, Oum El Bouaghi",4010
"Dhala, Oum El Bouaghi",4011
"Ain Kercha, Oum El Bouaghi",4012
"Hanchir Toumghani, Oum El Bouaghi",4013
"El Djazia, Oum El Bouaghi",4014
"Ain Diss, Oum El Bouaghi",4015
"Fkirina, Oum El Bouaghi",4016
"Souk Naamane, Oum El Bouaghi",4017
"Zorg, Oum El Bouaghi",4018
"El Fedjoudj Boughrar, Oum El Bouaghi",4019
"Ouled Zouai, Oum El Bouaghi",4020
"Bir Chouhada, Oum El Bouaghi",4021
"Ksar Sbahi, Oum El Bouaghi",4022
"Oued Nini, Oum El Bouaghi",4023
"Meskiana, Oum El Bouaghi",4024
"Ain Fekroune, Oum El Bouaghi",4025
"Rahia, Oum El Bouaghi",4026
"Ain Zitoun, Oum El Bouaghi",4027
"Ouled Gacem, Oum El Bouaghi",4028
"El Harmilia, Oum El Bouaghi",4029
"Batna, Batna",5001
"Ghassira, Batna",5002
"Maafa, Batna",5003
"Merouana, Batna",5004
"Seriana, Batna",5005
"Menaa, Batna",5006
"El Madher, Batna",5007
"Tazoult, Batna",5008
"Ngaous, Batna",5009
"Guigba, Batna",5010
"Inoughissen, Batna",5011
"Ouyoun El Assafir, Batna",5012
"Djerma, Batna",5013
"Bitam, Batna",5014
"Metkaouak, Batna",5015
"Arris, Batna",5016
"Kimmel, Batna",5017
"Tilatou, Batna",5018
"Ain Djasser, Batna",5019
"Ouled Selam, Batna",5020
"Tigherghar, Batna",5021
"Ain Yagout, Batna",5022
"Fesdis, Batna",5023
"Sefiane, Batna",5024
"Rahbat, Batna",5025
"Tighanimine, Batna",5026
"Lemsane, Batna",5027
"Ksar Belezma, Batna",5028
"Seggana, Batna",5029
"Ichmoul, Batna",5030
"Foum Toub, Batna",5031
"Beni Foudhala El Hakania, Batna",5032
"Oued El Ma, Batna",5033
"Talkhamt, Batna",5034
"Bouzina, Batna",5035
"Chemora, Batna",5036
"Oued Chaaba, Batna",5037
"Taxlent, Batna",5038
"Gosbat, Batna",5039
"Ouled Aouf, Batna",5040
"Boumagueur, Batna",5041
"Barika, Batna",5042
"Djezzar, Batna",5043
"Tkout, Batna",5044
"Ain Touta, Batna",5045
"Hidoussa, Batna",5046
"Teniet El Abed, Batna",5047
"Oued Taga, Batna",5048
"Ouled Fadel, Batna",5049
"Timgad, Batna",5050
"Ras El Aioun, Batna",5051
